decile,total_return,cagr,avg_daily_return,alpha_annualized,volatility,max_drawdown,avg_drawdown,downside_deviation,sharpe_ratio,sortino_ratio,calmar_ratio,information_ratio,win_rate_daily,win_rate_stock,profit_factor,skewness,kurtosis,max_dd_duration,avg_dd_duration,t_stat_alpha,p_value_alpha,n_days,avg_turnover,annual_tx_cost,ic_mean,ic_ir,factor_turnover
1,1.208318,0.084539,0.000333,-0.071712,0.072598,-0.182605,-0.023188,0.080945,1.154847,1.035756,0.462963,-0.713549,0.596748,0.403926,1.292052,-4.400398,71.400667,364,13.32,-2.2294,0.0259,2460,0.263974,0.389151,-0.016106,-0.087483,0.142855
2,1.121665,0.080101,0.000327,-0.0731,0.103134,-0.257966,-0.038404,0.107829,0.799455,0.764645,0.310511,-1.006096,0.579268,0.427613,1.185431,-2.840409,38.004263,355,15.95,-3.1435,0.0017,2460,0.593288,0.874626,-0.016106,-0.087483,0.142855
3,0.845753,0.064796,0.000279,-0.085337,0.121062,-0.259233,-0.051304,0.125239,0.579986,0.56064,0.249954,-1.501949,0.580488,0.432415,1.126678,-2.520959,23.619177,478,21.16,-4.6927,0.0,2460,0.718525,1.059249,-0.016106,-0.087483,0.142855
4,0.846913,0.064865,0.000289,-0.082779,0.139878,-0.295076,-0.058485,0.141611,0.520253,0.513886,0.219824,-1.867714,0.579675,0.437196,1.110401,-2.273668,21.382468,511,28.92,-5.8355,0.0,2460,0.777817,1.146658,-0.016106,-0.087483,0.142855
5,0.600181,0.049337,0.00024,-0.095156,0.15531,-0.389925,-0.084397,0.153522,0.388864,0.393395,0.126529,-2.45808,0.566667,0.437101,1.079956,-2.11797,17.844047,912,55.86,-7.68,0.0,2460,0.805502,1.18747,-0.016106,-0.087483,0.142855
6,0.835518,0.06419,0.000305,-0.078656,0.170018,-0.386455,-0.080565,0.165322,0.452277,0.465123,0.1661,-1.938754,0.565447,0.441645,1.090912,-2.080434,16.09235,783,36.06,-6.0575,0.0,2460,0.821827,1.211537,-0.016106,-0.087483,0.142855
7,1.559157,0.101045,0.00045,-0.042047,0.184341,-0.325242,-0.069496,0.172884,0.615729,0.656533,0.310676,-0.863142,0.572358,0.444827,1.122253,-1.758603,12.982195,536,29.32,-2.6968,0.007,2460,0.8213,1.21076,-0.016106,-0.087483,0.142855
8,2.25203,0.128404,0.00056,-0.014469,0.199812,-0.346955,-0.074442,0.185857,0.706077,0.759089,0.370088,-0.227228,0.578455,0.448113,1.139362,-1.690114,11.397726,512,23.25,-0.71,0.4778,2460,0.809781,1.193779,-0.016106,-0.087483,0.142855
9,6.456938,0.228526,0.000909,0.073575,0.214292,-0.344489,-0.072574,0.189565,1.069223,1.208692,0.663376,0.894863,0.585366,0.454981,1.211824,-1.320084,8.633152,364,16.53,2.7959,0.0052,2460,0.769683,1.134667,-0.016106,-0.087483,0.142855
10,321.611902,0.807119,0.002474,0.467776,0.247546,-0.347984,-0.041388,0.209975,2.518025,2.96858,2.319412,3.694489,0.612602,0.475854,1.560836,-0.978201,6.77656,163,7.04,11.5431,0.0,2460,0.587844,0.866599,-0.016106,-0.087483,0.142855
11,12.182581,0.302362,0.00107,0.269744,0.104128,-0.112774,-0.016851,0.079926,2.590498,3.374918,2.68114,2.590498,0.6,0.428939,1.568054,-0.492235,4.020503,161,6.51,8.0938,0.0,2460,0.425909,0.627875,-0.016106,-0.087483,0.142855
