window,decile,return,test_year
2014_2016,1,0.0005341452911040727,2016
2014_2016,2,0.0006187744766376474,2016
2014_2016,3,0.0006203334586727355,2016
2014_2016,4,0.00026691478133788294,2016
2014_2016,5,0.0005835016279209433,2016
2014_2016,6,0.0002534942409934861,2016
2014_2016,7,0.0002909962205818855,2016
2014_2016,8,3.546556294836238e-05,2016
2014_2016,9,0.0007405052248982196,2016
2014_2016,10,0.0019103537565891614,2016
2015_2017,1,0.0006386261902277151,2017
2015_2017,2,0.0005473525990359818,2017
2015_2017,3,0.0008465985707540754,2017
2015_2017,4,0.0006903956687829797,2017
2015_2017,5,0.0007161445016779841,2017
2015_2017,6,0.0007401947430862205,2017
2015_2017,7,0.0009227610344428119,2017
2015_2017,8,0.0010337599815484055,2017
2015_2017,9,0.0008592514306739316,2017
2015_2017,10,0.0021030328986821386,2017
2016_2018,1,0.00012186399760743547,2018
2016_2018,2,-1.737716625121891e-05,2018
2016_2018,3,-0.00024390390948078518,2018
2016_2018,4,-0.0004005710068024579,2018
2016_2018,5,-0.0001460406534160486,2018
2016_2018,6,-0.00034269905842597794,2018
2016_2018,7,-0.0008181395811796495,2018
2016_2018,8,-0.0006980421662253776,2018
2016_2018,9,-0.0002419959618253687,2018
2016_2018,10,0.0008622626783445981,2018
2017_2019,1,0.0006612325467021962,2019
2017_2019,2,0.0006343319066370818,2019
2017_2019,3,0.0007828235158518996,2019
2017_2019,4,0.0008222828443286025,2019
2017_2019,5,0.0007338341595660285,2019
2017_2019,6,0.0007325204097258068,2019
2017_2019,7,0.000818516477958134,2019
2017_2019,8,0.0011072124662949091,2019
2017_2019,9,0.000816338588843049,2019
2017_2019,10,0.0015455601982298213,2019
2018_2020,1,0.0005172942812830871,2020
2018_2020,2,0.0007848463086250637,2020
2018_2020,3,0.0009011800207307514,2020
2018_2020,4,0.001218297503303549,2020
2018_2020,5,0.0011114178002346808,2020
2018_2020,6,0.0014685115973578297,2020
2018_2020,7,0.001049311747098183,2020
2018_2020,8,0.001260916449193448,2020
2018_2020,9,0.0009709885751209655,2020
2018_2020,10,0.002363034588667242,2020
2019_2021,1,0.0006850250006424208,2021
2019_2021,2,0.0006575656678683297,2021
2019_2021,3,0.0007522691464863205,2021
2019_2021,4,0.000514122065015022,2021
2019_2021,5,0.0008707083976851134,2021
2019_2021,6,0.0007808284001403275,2021
2019_2021,7,0.0009693724999346357,2021
2019_2021,8,0.0015213219283601318,2021
2019_2021,9,0.0016862072778433554,2021
2019_2021,10,0.004133260536000268,2021
2020_2022,1,6.468439278006232e-05,2022
2020_2022,2,2.9264626819902288e-05,2022
2020_2022,3,-6.042392357299544e-05,2022
2020_2022,4,-9.994013275341562e-05,2022
2020_2022,5,-0.00016401508845126803,2022
2020_2022,6,-0.0004837166143200546,2022
2020_2022,7,-0.0006622172310787797,2022
2020_2022,8,-0.0005577890642380286,2022
2020_2022,9,-0.0007324576146114263,2022
2020_2022,10,-0.0003281871887948248,2022
2021_2023,1,0.0008263821631048115,2023
2021_2023,2,0.0008586375693816114,2023
2021_2023,3,0.0009406584052604568,2023
2021_2023,4,0.000948681036961635,2023
2021_2023,5,0.0013579349201787295,2023
2021_2023,6,0.0014280153070376066,2023
2021_2023,7,0.0014017542723706391,2023
2021_2023,8,0.0013242487138225402,2023
2021_2023,9,0.001680268930515951,2023
2021_2023,10,0.002114477080060197,2023
2022_2024,1,8.95516476209319e-05,2024
2022_2024,2,0.00018663312313335213,2024
2022_2024,3,0.000532437858694241,2024
2022_2024,4,0.00047708784911867767,2024
2022_2024,5,0.000523862123373669,2024
2022_2024,6,0.00039138965849863357,2024
2022_2024,7,0.0006326255076712385,2024
2022_2024,8,0.0006233554138358194,2024
2022_2024,9,0.0006235742791299489,2024
2022_2024,10,0.0011766489899540644,2024
2023_2025,1,-7.394768065626504e-05,2025
2023_2025,2,-0.0002652924440419638,2025
2023_2025,3,-0.0001487167918927186,2025
2023_2025,4,-5.8956334916745896e-05,2025
2023_2025,5,0.00023055799612828716,2025
2023_2025,6,1.4134847125249927e-07,2025
2023_2025,7,0.00033963649054565616,2025
2023_2025,8,0.0003471025753193339,2025
2023_2025,9,0.0009633271202478825,2025
2023_2025,10,0.0010928636807028143,2025
