window,mean_ic,std_ic,n_days,icir,test_year
2014_2016,-0.02025890310617801,0.13762503410882349,242,-2.336784993145388,2016
2015_2017,-0.020288019879611964,0.1115817839684903,241,-2.8863342817402904,2017
2016_2018,-0.031773199610800516,0.20021815332649204,243,-2.519171694787801,2018
2017_2019,-0.02061605300754738,0.1723179230700531,239,-1.8992202779156464,2019
2018_2020,-0.016382801918582747,0.20084938070858369,243,-1.2948454992375824,2020
2019_2021,-0.006591201580013731,0.20030292626113697,241,-0.5223692072880396,2021
2020_2022,-0.039379772414343754,0.22322216092177433,244,-2.8005037742942496,2022
2021_2023,-0.024439339688348723,0.18424817673338878,237,-2.1056517079555572,2023
2022_2024,-0.02639637155509122,0.15701005350123032,240,-2.6688062062426745,2024
2023_2025,-0.01315770613961735,0.1566043599214704,241,-1.3337566616150025,2025
