log_loss,roc_auc,accuracy,precision,recall,f1,n_test,positive_rate_true,positive_rate_pred,window,test_year,threshold,n_features
0.498026,0.613807,0.556132,0.258974,0.62283,0.365833,192841,0.2056,0.4944,2014_2016,2016,0.2,46
0.484484,0.595813,0.481972,0.224503,0.698902,0.339842,194694,0.1908,0.5939,2015_2017,2017,0.2,46
0.514006,0.617609,0.493472,0.267821,0.752188,0.395,198544,0.2198,0.6174,2016_2018,2018,0.18,46
0.47902,0.625826,0.585464,0.251911,0.611519,0.356829,197780,0.188,0.4565,2017_2019,2019,0.2,46
0.55411,0.607725,0.494098,0.295656,0.733268,0.421401,203330,0.2512,0.6231,2018_2020,2020,0.2,46
0.555633,0.611616,0.541009,0.310989,0.648385,0.420359,204721,0.2567,0.5352,2019_2021,2021,0.21,46
0.573612,0.578313,0.55146,0.299844,0.54478,0.386797,210737,0.2597,0.4718,2020_2022,2022,0.22,46
0.516458,0.611647,0.608387,0.280946,0.516287,0.363881,206745,0.2169,0.3987,2021_2023,2023,0.24,46
0.562538,0.572398,0.574589,0.284064,0.509296,0.364708,216043,0.2398,0.4299,2022_2024,2024,0.23,46
0.590645,0.553089,0.436861,0.263813,0.737622,0.388631,221732,0.2427,0.6785,2023_2025,2025,0.21,46
